sp_song,sp_artist,r_title,r_media_title,r_post_song,r_post_artist,r_media_song,r_media_artist,id,sp_link,r_score,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,Eiffel 65 - Blue - Da Ba Dee (1998) [Dance],Eiffel 65 - Blue (Da Ba Dee) [Gabry Ponte Ice Pop Mix] (Original Video with subtitles),Blue - Da Ba Dee,Eiffel 65,Blue,Eiffel 65,2yAVzRiEQooPEJ9SYx11L3,,4633.0,0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,audio_features,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748,4,https://i.scdn.co/image/ab67616d0000b2733b1a2136a769a6503d8e2aef,1999-01-01,1999,False,76,https://p.scdn.co/mp3-preview/275f2d809c4861d4a03b19780e0b9412a75d73db?cid=484c8fc1e0c54669ac770f80991a8280
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,Eiffel 65 - Blue - Da Ba Dee (1998) [Dance],Eiffel 65 - Blue (Da Ba Dee) [Gabry Ponte Ice Pop Mix] (Original Video with subtitles),Blue - Da Ba Dee,Eiffel 65,Blue,Eiffel 65,2yAVzRiEQooPEJ9SYx11L3,,4633.0,0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,audio_features,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748,4,https://i.scdn.co/image/ab67616d0000b2733b1a2136a769a6503d8e2aef,1999-01-01,1999,False,76,https://p.scdn.co/mp3-preview/275f2d809c4861d4a03b19780e0b9412a75d73db?cid=484c8fc1e0c54669ac770f80991a8280
Torn,Natalie Imbruglia,Natalie Imbruglia - Torn (1997) [Pop],Natalie Imbruglia - Torn (Official Video),Torn,Natalie Imbruglia,Torn,Natalie Imbruglia,1Jaah2tmN9Hv81A87KZ1MU,,1000.0,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,audio_features,spotify:track:1Jaah2tmN9Hv81A87KZ1MU,https://api.spotify.com/v1/tracks/1Jaah2tmN9Hv81A87KZ1MU,https://api.spotify.com/v1/audio-analysis/1Jaah2tmN9Hv81A87KZ1MU,244667,4,https://i.scdn.co/image/ab67616d0000b27384bb2b1e87d5ba0bac8871a2,1997-11-10,1997,False,75,https://p.scdn.co/mp3-preview/0ea552243a6585720876c6c9caa1f49175a3ff10?cid=484c8fc1e0c54669ac770f80991a8280
Torn,Natalie Imbruglia,Natalie Imbruglia - Torn (1997) [Pop],Natalie Imbruglia - Torn (Official Video),Torn,Natalie Imbruglia,Torn,Natalie Imbruglia,1Jaah2tmN9Hv81A87KZ1MU,,1000.0,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,audio_features,spotify:track:1Jaah2tmN9Hv81A87KZ1MU,https://api.spotify.com/v1/tracks/1Jaah2tmN9Hv81A87KZ1MU,https://api.spotify.com/v1/audio-analysis/1Jaah2tmN9Hv81A87KZ1MU,244667,4,https://i.scdn.co/image/ab67616d0000b27384bb2b1e87d5ba0bac8871a2,1997-11-10,1997,False,75,https://p.scdn.co/mp3-preview/0ea552243a6585720876c6c9caa1f49175a3ff10?cid=484c8fc1e0c54669ac770f80991a8280
Walkie Talkie Man,Steriogram,Steriogram -- Walkie Talkie Man [Alt Rock] (2004),Steriogram - Walkie Talkie Man (Single Version),Walkie Talkie Man,Steriogram,Walkie Talkie Man,Steriogram,0iCrjwLMTjWsdOKdOAZ0FC,,817.0,0.548,0.935,9,-2.112,1,0.0775,0.000254,0.0,0.422,0.593,141.118,audio_features,spotify:track:0iCrjwLMTjWsdOKdOAZ0FC,https://api.spotify.com/v1/tracks/0iCrjwLMTjWsdOKdOAZ0FC,https://api.spotify.com/v1/audio-analysis/0iCrjwLMTjWsdOKdOAZ0FC,133400,4,https://i.scdn.co/image/ab67616d0000b273de6097ba29c3bb799f736d22,2004-01-01,2004,False,57,
Walkie Talkie Man,Steriogram,Steriogram -- Walkie Talkie Man [Alt Rock] (2004),Steriogram - Walkie Talkie Man (Single Version),Walkie Talkie Man,Steriogram,Walkie Talkie Man,Steriogram,0iCrjwLMTjWsdOKdOAZ0FC,,817.0,0.548,0.935,9,-2.112,1,0.0775,0.000254,0.0,0.422,0.593,141.118,audio_features,spotify:track:0iCrjwLMTjWsdOKdOAZ0FC,https://api.spotify.com/v1/tracks/0iCrjwLMTjWsdOKdOAZ0FC,https://api.spotify.com/v1/audio-analysis/0iCrjwLMTjWsdOKdOAZ0FC,133400,4,https://i.scdn.co/image/ab67616d0000b273de6097ba29c3bb799f736d22,2004-01-01,2004,False,57,
She Blinded Me With Science - 2009 Remastered Version,Thomas Dolby,Thomas Dolby - She Blinded Me With Science [New Wave],Thomas Dolby - She Blinded Me With Science (Official Video - HD Remaster),She Blinded Me With Science,Thomas Dolby,She Blinded Me With Science,Thomas Dolby,6y9VZNRczyKeQihebHSMJ8,,780.0,0.798,0.767,9,-10.502,1,0.0421,0.0725,0.138,0.0985,0.974,129.401,audio_features,spotify:track:6y9VZNRczyKeQihebHSMJ8,https://api.spotify.com/v1/tracks/6y9VZNRczyKeQihebHSMJ8,https://api.spotify.com/v1/audio-analysis/6y9VZNRczyKeQihebHSMJ8,222387,4,https://i.scdn.co/image/ab67616d0000b2739a3d4f4c59f2779b8c746efc,1982-06-29,1982,False,50,https://p.scdn.co/mp3-preview/f08a18651a3acba8cebbef6c910af9c982c63fdc?cid=484c8fc1e0c54669ac770f80991a8280
She Blinded Me With Science - 2009 Remastered Version,Thomas Dolby,Thomas Dolby - She Blinded Me With Science [New Wave],Thomas Dolby - She Blinded Me With Science (Official Video - HD Remaster),She Blinded Me With Science,Thomas Dolby,She Blinded Me With Science,Thomas Dolby,6y9VZNRczyKeQihebHSMJ8,,780.0,0.798,0.767,9,-10.502,1,0.0421,0.0725,0.138,0.0985,0.974,129.401,audio_features,spotify:track:6y9VZNRczyKeQihebHSMJ8,https://api.spotify.com/v1/tracks/6y9VZNRczyKeQihebHSMJ8,https://api.spotify.com/v1/audio-analysis/6y9VZNRczyKeQihebHSMJ8,222387,4,https://i.scdn.co/image/ab67616d0000b2739a3d4f4c59f2779b8c746efc,1982-06-29,1982,False,50,https://p.scdn.co/mp3-preview/f08a18651a3acba8cebbef6c910af9c982c63fdc?cid=484c8fc1e0c54669ac770f80991a8280
The New Jazz (One),Digital Underground,New Jazz Underground -- Jazz is a four letter word [Jazz] (2022),f**ᵏ/s**ᵗ/c**ᵗ/jazz.,Jazz is a four letter word,New Jazz Underground,s**ᵗ/c**ᵗ/jazz.,f**ᵏ,5kqmsrgsleeGHS5EF42AyF,,671.0,0.399,0.577,6,-15.505,0,0.232,0.017,0.724,0.151,0.542,191.444,audio_features,spotify:track:5kqmsrgsleeGHS5EF42AyF,https://api.spotify.com/v1/tracks/5kqmsrgsleeGHS5EF42AyF,https://api.spotify.com/v1/audio-analysis/5kqmsrgsleeGHS5EF42AyF,37533,3,https://i.scdn.co/image/ab67616d0000b273583f0ebff7dce26f8998513d,1990-03-26,1990,False,17,https://p.scdn.co/mp3-preview/cbc0277570b2bbed844dcfe7f85777634ae15268?cid=484c8fc1e0c54669ac770f80991a8280
Jazz Dreams,Classic Jazz,New Jazz Underground -- Jazz is a four letter word [Jazz] (2022),f**ᵏ/s**ᵗ/c**ᵗ/jazz.,Jazz is a four letter word,New Jazz Underground,s**ᵗ/c**ᵗ/jazz.,f**ᵏ,6dWEkDBvJsEgc3YcavM9uQ,,671.0,0.744,0.292,11,-16.644,1,0.0682,0.735,0.587,0.107,0.15,104.022,audio_features,spotify:track:6dWEkDBvJsEgc3YcavM9uQ,https://api.spotify.com/v1/tracks/6dWEkDBvJsEgc3YcavM9uQ,https://api.spotify.com/v1/audio-analysis/6dWEkDBvJsEgc3YcavM9uQ,163269,4,https://i.scdn.co/image/ab67616d0000b27341a58899c3a486885dbf711f,2021-07-01,2021,False,0,https://p.scdn.co/mp3-preview/517667165c582dbe932007fcfd6509435a7d88a0?cid=484c8fc1e0c54669ac770f80991a8280
Just Like Me,Amber Arcades,Amber Arcades - Just Like Me [indie pop] (2022),Just Like Me,Just Like Me,Amber Arcades,,,6wFq01ZyreydHfP8OWGNbs,,269.0,0.464,0.573,2,-8.966,1,0.038,0.183,0.0048,0.0422,0.317,149.992,audio_features,spotify:track:6wFq01ZyreydHfP8OWGNbs,https://api.spotify.com/v1/tracks/6wFq01ZyreydHfP8OWGNbs,https://api.spotify.com/v1/audio-analysis/6wFq01ZyreydHfP8OWGNbs,232688,4,https://i.scdn.co/image/ab67616d0000b273b137c36a00be704e5e00bb8a,2022-10-25,2022,False,9,https://p.scdn.co/mp3-preview/855a9988807bf80b7884d9eeec73fdd1809dc43b?cid=484c8fc1e0c54669ac770f80991a8280
The Festival,Tim Baker,Tim Baker -- The Festival [Indie Folk/Pop] (2022),Tim Baker - The Festival (Official Audio),The Festival,Tim Baker,The Festival,Tim Baker,1dFfZPefy1r9FNDpie4zlo,,198.0,0.396,0.48,7,-6.928,1,0.0346,0.436,0.0358,0.108,0.348,129.74,audio_features,spotify:track:1dFfZPefy1r9FNDpie4zlo,https://api.spotify.com/v1/tracks/1dFfZPefy1r9FNDpie4zlo,https://api.spotify.com/v1/audio-analysis/1dFfZPefy1r9FNDpie4zlo,319467,3,https://i.scdn.co/image/ab67616d0000b273c3331ccdb121f42617403225,2022-10-21,2022,False,27,https://p.scdn.co/mp3-preview/247e20b14ac07410059e995947d5b8b582ddb478?cid=484c8fc1e0c54669ac770f80991a8280
