r_title,r_post_song,r_post_artist,r_media_song,r_media_artist,sp_song,sp_artist,r_genres,sp_genres,r_media_title,r_post_date,r_upvote_ratio,r_score,bc_embed_link,link_source,sc_embed_link,sc_link,sp_link,yt_link,yt_video_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,sp_artwork_640px,sp_release_date,sp_release_year,sp_explicit,sp_popularity,sp_audio_preview,sp_artist_popularity,sp_follower_count
Eiffel 65 - Blue - Da Ba Dee (1998) [Dance],Blue - Da Ba Dee,Eiffel 65,Blue,Eiffel 65,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,dance,"'bubblegum dance', 'eurodance', 'europop', 'italian adult pop', 'italo dance'",Eiffel 65 - Blue (Da Ba Dee) [Gabry Ponte Ice Pop Mix] (Original Video with subtitles),2022-10-24,76.5,4633.0,,youtube,,,,https://www.youtube.com/watch?v=68ugkg9RePc,68ugkg9RePc,2yAVzRiEQooPEJ9SYx11L3,96.9,-1147.1,G,-11.471,0.0,82.2,5.82,25.9,0.02,39.0,128,audio_features,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,04:43,4.0,https://i.scdn.co/image/ab67616d0000b2733b1a2136a769a6503d8e2aef,1999-01-01,1999.0,False,76.0,https://p.scdn.co/mp3-preview/275f2d809c4861d4a03b19780e0b9412a75d73db?cid=484c8fc1e0c54669ac770f80991a8280,62,301718
Natalie Imbruglia - Torn (1997) [Pop],Torn,Natalie Imbruglia,Torn,Natalie Imbruglia,Torn,Natalie Imbruglia,pop,"'australian pop', 'dance pop', 'europop', 'lilith', 'new wave pop', 'pop rock'",Natalie Imbruglia - Torn (Official Video),2022-10-24,60.9,1000.0,,youtube,,,,https://www.youtube.com/watch?v=VV1XWJN3nJo,VV1XWJN3nJo,1Jaah2tmN9Hv81A87KZ1MU,88.6,-518.2,F,-5.182,1.0,57.5,3.4,6.47,0.02,70.9,96,audio_features,spotify:track:1Jaah2tmN9Hv81A87KZ1MU,https://api.spotify.com/v1/tracks/1Jaah2tmN9Hv81A87KZ1MU,https://api.spotify.com/v1/audio-analysis/1Jaah2tmN9Hv81A87KZ1MU,04:04,4.0,https://i.scdn.co/image/ab67616d0000b27384bb2b1e87d5ba0bac8871a2,1997-11-10,1997.0,False,75.0,https://p.scdn.co/mp3-preview/0ea552243a6585720876c6c9caa1f49175a3ff10?cid=484c8fc1e0c54669ac770f80991a8280,62,822893
Steriogram -- Walkie Talkie Man [Alt Rock] (2004),Walkie Talkie Man,Steriogram,Walkie Talkie Man,Steriogram,Walkie Talkie Man,Steriogram,alt rock,"'kiwi rock', 'nz hardcore', 'nz punk'",Steriogram - Walkie Talkie Man (Single Version),2022-10-25,59.3,817.0,,youtube,,,,https://www.youtube.com/watch?v=VTiO8hVJypA,VTiO8hVJypA,0iCrjwLMTjWsdOKdOAZ0FC,93.5,-211.2,A,-2.112,1.0,54.8,7.75,0.03,0.0,42.2,141,audio_features,spotify:track:0iCrjwLMTjWsdOKdOAZ0FC,https://api.spotify.com/v1/tracks/0iCrjwLMTjWsdOKdOAZ0FC,https://api.spotify.com/v1/audio-analysis/0iCrjwLMTjWsdOKdOAZ0FC,02:13,4.0,https://i.scdn.co/image/ab67616d0000b273de6097ba29c3bb799f736d22,2004-01-01,2004.0,False,57.0,,41,12546
Thomas Dolby - She Blinded Me With Science [New Wave],She Blinded Me With Science,Thomas Dolby,She Blinded Me With Science,Thomas Dolby,She Blinded Me With Science - 2009 Remastered Version,Thomas Dolby,new wave,"'art rock', 'new romantic', 'new wave', 'new wave pop', 'steampunk', 'synthpop', 'zolo'",Thomas Dolby - She Blinded Me With Science (Official Video - HD Remaster),2022-10-26,97.4,780.0,,youtube,,,,https://www.youtube.com/watch?v=V83JR2IoI8k,V83JR2IoI8k,6y9VZNRczyKeQihebHSMJ8,76.7,-1050.2,A,-10.502,1.0,79.8,4.21,7.25,13.8,9.85,129,audio_features,spotify:track:6y9VZNRczyKeQihebHSMJ8,https://api.spotify.com/v1/tracks/6y9VZNRczyKeQihebHSMJ8,https://api.spotify.com/v1/audio-analysis/6y9VZNRczyKeQihebHSMJ8,03:42,4.0,https://i.scdn.co/image/ab67616d0000b2739a3d4f4c59f2779b8c746efc,1982-06-29,1982.0,False,50.0,https://p.scdn.co/mp3-preview/f08a18651a3acba8cebbef6c910af9c982c63fdc?cid=484c8fc1e0c54669ac770f80991a8280,45,140460
New Jazz Underground -- Jazz is a four letter word [Jazz] (2022),Jazz is a four letter word,New Jazz Underground,s**ᵗ/c**ᵗ/jazz.,f**ᵏ,The New Jazz (One),Digital Underground,jazz,"'conscious hip hop', 'funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap', 'west coast rap'",f**ᵏ/s**ᵗ/c**ᵗ/jazz.,2022-10-24,54.2,671.0,,youtube,,,,https://www.youtube.com/watch?v=GyiWQqlh-cU,GyiWQqlh-cU,5kqmsrgsleeGHS5EF42AyF,57.7,-1550.5,Gb/F#,-15.505,0.0,39.9,23.2,1.7,72.4,15.1,191,audio_features,spotify:track:5kqmsrgsleeGHS5EF42AyF,https://api.spotify.com/v1/tracks/5kqmsrgsleeGHS5EF42AyF,https://api.spotify.com/v1/audio-analysis/5kqmsrgsleeGHS5EF42AyF,00:37,3.0,https://i.scdn.co/image/ab67616d0000b273583f0ebff7dce26f8998513d,1990-03-26,1990.0,False,17.0,https://p.scdn.co/mp3-preview/cbc0277570b2bbed844dcfe7f85777634ae15268?cid=484c8fc1e0c54669ac770f80991a8280,55,456586
Amber Arcades - Just Like Me [indie pop] (2022),Just Like Me,Amber Arcades,,,Just Like Me,Amber Arcades,indie pop,"'chamber psych', 'dutch indie', 'dutch indie rock'",Just Like Me,2022-10-26,31.7,269.0,,youtube,,,,https://www.youtube.com/watch?v=jV-K2GBeyXM,jV-K2GBeyXM,6wFq01ZyreydHfP8OWGNbs,57.3,-896.6,Db/C#,-8.966,1.0,46.4,3.8,18.3,0.48,4.22,149,audio_features,spotify:track:6wFq01ZyreydHfP8OWGNbs,https://api.spotify.com/v1/tracks/6wFq01ZyreydHfP8OWGNbs,https://api.spotify.com/v1/audio-analysis/6wFq01ZyreydHfP8OWGNbs,03:52,4.0,https://i.scdn.co/image/ab67616d0000b273b137c36a00be704e5e00bb8a,2022-10-25,2022.0,False,9.0,https://p.scdn.co/mp3-preview/855a9988807bf80b7884d9eeec73fdd1809dc43b?cid=484c8fc1e0c54669ac770f80991a8280,22,11680
Tim Baker -- The Festival [Indie Folk/Pop] (2022),The Festival,Tim Baker,The Festival,Tim Baker,The Festival,Tim Baker,"indie folk, pop","'canadian indie', 'deep new americana'",Tim Baker - The Festival (Official Audio),2022-10-23,34.8,198.0,,youtube,,,,https://www.youtube.com/watch?v=exhHpQpjqdA,exhHpQpjqdA,1dFfZPefy1r9FNDpie4zlo,48.0,-692.8,G,-6.928,1.0,39.6,3.46,43.6,3.58,10.8,129,audio_features,spotify:track:1dFfZPefy1r9FNDpie4zlo,https://api.spotify.com/v1/tracks/1dFfZPefy1r9FNDpie4zlo,https://api.spotify.com/v1/audio-analysis/1dFfZPefy1r9FNDpie4zlo,05:19,3.0,https://i.scdn.co/image/ab67616d0000b273c3331ccdb121f42617403225,2022-10-21,2022.0,False,27.0,https://p.scdn.co/mp3-preview/247e20b14ac07410059e995947d5b8b582ddb478?cid=484c8fc1e0c54669ac770f80991a8280,37,12918
Ministry - N.W.O. [Industrial Metal],N.W.O.,Ministry,,,N.W.O.,Ministry,industrial metal,"'alternative metal', 'double drumming', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'rap rock'",N.W.O. (Re-Record) (Remastered),2022-10-24,43.2,190.0,,youtube,,,,https://www.youtube.com/watch?v=EgXiDvA-Wc8,EgXiDvA-Wc8,2D9LxUcR9zWxQtxiHsMA0n,95.1,-847.3,E,-8.473,1.0,44.6,4.23,0.0,54.8,6.33,160,audio_features,spotify:track:2D9LxUcR9zWxQtxiHsMA0n,https://api.spotify.com/v1/tracks/2D9LxUcR9zWxQtxiHsMA0n,https://api.spotify.com/v1/audio-analysis/2D9LxUcR9zWxQtxiHsMA0n,05:30,4.0,https://i.scdn.co/image/ab67616d0000b27390edd2885a4865e0a4bf6f3c,1992-07-10,1992.0,False,49.0,https://p.scdn.co/mp3-preview/3debf625125d2c13fddebd9764a830a230b67dff?cid=484c8fc1e0c54669ac770f80991a8280,51,427269
Cinecyde - Don’t Come Crying to Me [Punk Rock] (1982),Don’t Come Crying to Me,Cinecyde,,,Don't Come Crying to Me,Cinecyde,punk rock,'detroit rock',Don't Come Crying to Me,2022-10-22,22.7,173.0,,youtube,,,,https://www.youtube.com/watch?v=uzenjfemtjQ,uzenjfemtjQ,5WshIJXqTlApwJupX8QgDC,96.6,-761.8,D,-7.618,0.0,28.4,11.5,0.1,89.2,33.1,164,audio_features,spotify:track:5WshIJXqTlApwJupX8QgDC,https://api.spotify.com/v1/tracks/5WshIJXqTlApwJupX8QgDC,https://api.spotify.com/v1/audio-analysis/5WshIJXqTlApwJupX8QgDC,02:45,4.0,https://i.scdn.co/image/ab67616d0000b27333a93e0e3eae753e67ddef26,1982-12-15,1982.0,False,7.0,https://p.scdn.co/mp3-preview/87bde5c62539da6d1577d05c696973e7208be3cd?cid=484c8fc1e0c54669ac770f80991a8280,3,280
Dubinski -- Fall Right In The Grave [Indie Rock] (2022),Fall Right In The Grave,Dubinski,Fall Right In The Grave,Dubinski,Fall Right In The Grave,Dubinski,indie rock,'edinburgh indie',Dubinski - Fall Right In The Grave,2022-10-23,57.8,154.0,,youtube,,,,https://www.youtube.com/watch?v=hMiiJrLWTw4,hMiiJrLWTw4,1DX2T1evlGbkoWsiUTvVCx,72.0,-830.7,F,-8.307,0.0,35.9,5.5,3.15,0.0,9.49,126,audio_features,spotify:track:1DX2T1evlGbkoWsiUTvVCx,https://api.spotify.com/v1/tracks/1DX2T1evlGbkoWsiUTvVCx,https://api.spotify.com/v1/audio-analysis/1DX2T1evlGbkoWsiUTvVCx,03:25,4.0,https://i.scdn.co/image/ab67616d0000b273487ae89185160c06db43053b,2022-10-12,2022.0,False,17.0,https://p.scdn.co/mp3-preview/5fc621a954a3be846234a1b6eb7f6ffd9aae9d9a?cid=484c8fc1e0c54669ac770f80991a8280,12,2183
