r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
Weird Al - Amish Paradise [Parody],"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)",2022-09-29,0.93,1145.0,"{'oembed': {'provider_url': 'https://www.youtube.com/', 'title': 'Amish Paradise (Parody of ""Gangsta\'s Paradise"" by Coolio)', 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/aKbe-SUIOzs?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Amish Paradise (Parody of ""Gangsta\'s Paradise"" by Coolio)""></iframe>', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'version': '1.0', 'author_name': '""Weird Al"" Yankovic - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/aKbe-SUIOzs/hqdefault.jpg', 'type': 'video', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCa4LILjjT1YCeo5Xg9rQTMQ'}, 'type': 'youtube.com'}",Weird Al,Amish Paradise,,,parody,youtube,,https://www.youtube.com/watch?v=aKbe-SUIOzs,aKbe-SUIOzs,,,,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)","""Weird Al"" Yankovic - Topic",2015-08-12T00:44:53Z,PT3M23S,2734852,https://i.ytimg.com/vi/aKbe-SUIOzs/hqdefault.jpg,44496,129,"['Weird Al', 'Yankovic', '艾爾‧楊科維奇', 'Bad Hair Day', ""Amish Paradise (Parody of Gangsta's Paradise"", 'by', 'Coolio)']",2.73M,44.5K,129,03:23,2015-08-12,1.14K
Mdou Moctar -- Live at KEXP [African Rock] (2022),Mdou Moctar - Full Performance (Live on KEXP),2022-09-28,0.96,1090.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Mdou Moctar - Full Performance (Live on KEXP)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/52CZVfiiMpY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Mdou Moctar - Full Performance (Live on KEXP)""></iframe>', 'author_name': 'KEXP', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/52CZVfiiMpY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/kexp'}}",Mdou Moctar,Live at KEXP,Mdou Moctar,Full Performance,african rock,youtube,,https://www.youtube.com/watch?v=52CZVfiiMpY,52CZVfiiMpY,,,,Mdou Moctar - Full Performance (Live on KEXP),KEXP,2022-09-27T15:00:05Z,PT31M13S,34103,https://i.ytimg.com/vi/52CZVfiiMpY/hqdefault.jpg,1891,95,"['find new music', 'music discovery', 'latest bands', 'live performance', 'studio session', 'studio performance', 'live version', 'live recording', 'in studio', 'instudio', 'KEXP', 'kexp fm', 'live music', 'livemusic', 'concert streaming', 'online concert', 'virtual concert', 'Full Performance', 'Mdou Moctar', 'Mdou Moctar Live', 'THING', 'THING 2022', 'Agadez', 'Niger', 'Africa', 'West Africa']",34.1K,1.89K,95,31:13,2022-09-27,1.09K
"Blam Blam Blam — Don't Fight It Marsha, It’s Bigger Than Both Of Us [college rock, new wave] (1981)",Blam Blam Blam - Don't Fight It Marsha,2022-09-25,0.94,556.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""Blam Blam Blam - Don't Fight It Marsha"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/91Dt_0bPOTI?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Blam Blam Blam - Don\'t Fight It Marsha""></iframe>', 'author_name': 'chillblue07', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/91Dt_0bPOTI/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/chillblue07'}}",Blam Blam Blam,"Dont Fight It Marsha, It’s Bigger Than Both Of Us",Blam Blam Blam,Don't Fight It Marsha,"college rock, new wave",youtube,,https://www.youtube.com/watch?v=91Dt_0bPOTI,91Dt_0bPOTI,,,,Blam Blam Blam - Don't Fight It Marsha,chillblue07,2011-01-31T08:50:41Z,PT4M17S,93081,https://i.ytimg.com/vi/91Dt_0bPOTI/hqdefault.jpg,903,66,"['blam', 'marsha', 'don', 'mcglashan', 'the', 'mutton', 'birds', 'new', 'zealand', 'music']",93.1K,903,66,04:17,2011-01-31,556
IDLES - Danny Nedelko [Post Punk],IDLES - Danny Nedelko (Glastonbury 2019),2022-09-29,0.92,467.0,"{'oembed': {'provider_url': 'https://www.youtube.com/', 'title': 'IDLES - Danny Nedelko (Glastonbury 2019)', 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/Sc63fTPttEQ?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""IDLES - Danny Nedelko (Glastonbury 2019)""></iframe>', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'version': '1.0', 'author_name': 'BBC Music', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/Sc63fTPttEQ/hqdefault.jpg', 'type': 'video', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/BBCMusic'}, 'type': 'youtube.com'}",IDLES,Danny Nedelko,IDLES,Danny Nedelko,post punk,youtube,,https://www.youtube.com/watch?v=Sc63fTPttEQ,Sc63fTPttEQ,,,,IDLES - Danny Nedelko (Glastonbury 2019),BBC Music,2020-06-25T13:30:09Z,PT4M30S,678195,https://i.ytimg.com/vi/Sc63fTPttEQ/hqdefault.jpg,9783,415,"['bbc', 'music', 'IDLES', 'Danny Nedelko', 'bbc music', 'Glastonbury']",678K,9.78K,415,04:30,2020-06-25,467
"Annie Lennox - Walking on Broken Glass [Pop, Soul]",Annie Lennox - Walking on Broken Glass (Official Video),2022-09-28,0.94,465.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Annie Lennox - Walking on Broken Glass (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/y25stK5ymlA?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Annie Lennox - Walking on Broken Glass (Official Video)""></iframe>', 'author_name': 'AnnieLennoxVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/y25stK5ymlA/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/AnnieLennoxVEVO'}}",Annie Lennox,Walking on Broken Glass,Annie Lennox,Walking on Broken Glass,"pop, soul",youtube,,https://www.youtube.com/watch?v=y25stK5ymlA,y25stK5ymlA,,,,Annie Lennox - Walking on Broken Glass (Official Video),AnnieLennoxVEVO,2009-10-03T04:41:28Z,PT3M59S,25499755,https://i.ytimg.com/vi/y25stK5ymlA/hqdefault.jpg,110786,7062,"['Sweet Dreams', 'Eurythmics', 'Why', 'acoustic', 'music', 'walking on broken glass lyrics', ""No More I Love You's"", 'Cold', 'Into The West', 'vevo', 'Little Bird', 'Here Comes The Rain Again', 'Annie Lennox lyrics', 'A Whiter Shade Of Pale', 'official', 'download', 'The Annie Lennox Collection', 'karaoke', 'remix', 'I Put A Spell On You', 'Grammy performance', 'lyrics', 'official video', 'cover', 'Annie Lennox live', 'There Must Be An Angel', 'Precious', 'Sony', 'Annie Lennox walking on broken glass']",25.5M,111K,7.06K,03:59,2009-10-03,465
Polyphia - Ego Death ft. Steve Vai [prog rock],Polyphia - Ego Death feat. Steve Vai (Official Music Video),2022-09-28,0.91,401.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Polyphia - Ego Death feat. Steve Vai (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/1JNmz17gnMw?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Polyphia - Ego Death feat. Steve Vai (Official Music Video)""></iframe>', 'author_name': 'Polyphia', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/1JNmz17gnMw/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/Polyphia'}}",Polyphia,Ego Death ft. Steve Vai,Polyphia,Ego Death feat. Steve Vai,prog rock,youtube,,https://www.youtube.com/watch?v=1JNmz17gnMw,1JNmz17gnMw,,,,Polyphia - Ego Death feat. Steve Vai (Official Music Video),Polyphia,2022-09-28T15:00:03Z,PT5M51S,1431742,https://i.ytimg.com/vi/1JNmz17gnMw/hqdefault.jpg,118554,9982,"['Polyphia', 'Ego Death', 'Steve Vai', 'Remember That You Will Die', 'Instrumental Band', 'Instrumental', 'polyphia ego death', 'ego death polyphia', 'polyphia steve vai', 'steve vai ego death', 'polyphia reaction', 'polyphia 2022', 'polyphia live', 'shredding guitar', 'guitar', 'metal guitar', 'metal band']",1.43M,119K,9.98K,05:51,2022-09-28,401
"Garageland — Come Back [alternative rock, power pop] (1996)",Garageland - Comeback Special,2022-09-27,0.9,336.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Garageland - Comeback Special', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/IXeGVEx9-t8?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Garageland - Comeback Special""></iframe>', 'author_name': 'chillblue07', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/IXeGVEx9-t8/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/chillblue07'}}",Garageland,Come Back,Garageland,Comeback Special,"alternative rock, power pop",youtube,,https://www.youtube.com/watch?v=IXeGVEx9-t8,IXeGVEx9-t8,,,,Garageland - Comeback Special,chillblue07,2011-02-02T07:16:17Z,PT2M58S,20590,https://i.ytimg.com/vi/IXeGVEx9-t8/hqdefault.jpg,184,14,"['garageland', 'comeback', 'flying', 'nun', 'records', 'new', 'zealand']",20.6K,184,14,02:58,2011-02-02,336
Indian Ocean - Kandisa [Indie/Neo-Folk] (2000),Kandisa,2022-09-25,0.94,229.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Kandisa', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/FIdyvT8n1nE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Kandisa""></iframe>', 'author_name': 'Various Artists - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/FIdyvT8n1nE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCxd_OJHCFtrkobwfy828c2Q'}}",Indian Ocean,Kandisa,,,"indie, neo-folk",youtube,,https://www.youtube.com/watch?v=FIdyvT8n1nE,FIdyvT8n1nE,,,,Kandisa,Various Artists - Topic,2018-10-19T23:18:36Z,PT7M41S,258834,https://i.ytimg.com/vi/FIdyvT8n1nE/hqdefault.jpg,2898,10,"['Various', 'Artist', 'Kandisa']",259K,2.9K,10,07:41,2018-10-19,229
Robot God - Ready To Launch [Heavy Psych/Stoner Rock] (2022),Robot God - Ready To Launch (Official Video),2022-09-24,0.9,202.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Robot God - Ready To Launch (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/e9VaJFJL1dE?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Robot God - Ready To Launch (Official Video)""></iframe>', 'author_name': 'Robot God', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/e9VaJFJL1dE/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCSeX7ZBRhSMts33-XsqE_WQ'}}",Robot God,Ready To Launch,Robot God,Ready To Launch,"heavy psych, stoner rock",youtube,,https://www.youtube.com/watch?v=e9VaJFJL1dE,e9VaJFJL1dE,,,,Robot God - Ready To Launch (Official Video),Robot God,2022-08-24T21:31:13Z,PT7M4S,2464,https://i.ytimg.com/vi/e9VaJFJL1dE/hqdefault.jpg,95,9,,2.46K,95,9,07:04,2022-08-24,202
"Paramore - This Is Why [Alternative, Rock, Pop]",Paramore: This Is Why [OFFICIAL VIDEO],2022-09-28,0.84,167.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Paramore: This Is Why [OFFICIAL VIDEO]', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/xIYJ7VaSxYY?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Paramore: This Is Why [OFFICIAL VIDEO]""></iframe>', 'author_name': 'Paramore', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/xIYJ7VaSxYY/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/paramore'}}",Paramore,This Is Why,Paramore,This Is Why,"alternative, rock, pop",youtube,,https://www.youtube.com/watch?v=xIYJ7VaSxYY,xIYJ7VaSxYY,,,,Paramore: This Is Why [OFFICIAL VIDEO],Paramore,2022-09-28T17:30:09Z,PT3M58S,1689770,https://i.ytimg.com/vi/xIYJ7VaSxYY/hqdefault.jpg,187055,13691,"['Paramore', 'Parmore', 'Paramor', 'Para more', 'fake happy', 'Hayley Williams', 'Taylor York', 'Zac Farro', 'New Paramore Song', 'new Paramore album', ""paramore's new song"", ""paramore's new album"", 'new music from paramore', 'Hayley williams new song', 'Paramore this is why', 'this is why', ""this is why i don't leave the house"", 'paramore this is why video', 'paramore this is why album', 'this is why album', 'paramore TIW', 'still into you', 'still into you paramore', 'aint it fun', 'aint it fun paramore', 'misery business']",1.69M,187K,13.7K,03:58,2022-09-28,167
