r_title,r_media_title,r_post_date,r_upvote_ratio,r_score,r_media_data,r_post_artist,r_post_song,r_media_artist,r_media_song,r_genres,link_source,sp_link,yt_link,yt_video_id,sc_link,sc_embed_link,bc_embed_link,video_title,channel_title,publish_date,vid_duration,view_count,thumbnail_standard,like_count,comment_count,video_tags,view_count_readable,like_count_readable,comment_count_readable,vid_duration_readable,publish_date_readable,r_score_readable
King Gizzard & The Lizard Wizard - Magma [Rock - live],King Gizzard & The Lizard Wizard - Magma (Live on KEXP),2022-11-11,0.91,815.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'King Gizzard & The Lizard Wizard - Magma (Live on KEXP)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/8fXqRAyu1d0?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""King Gizzard &amp; The Lizard Wizard - Magma (Live on KEXP)""></iframe>', 'author_name': 'KEXP', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/8fXqRAyu1d0/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/kexp'}}",King Gizzard & The Lizard Wizard,Magma,King Gizzard & The Lizard Wizard,Magma,rock - live,youtube,,https://www.youtube.com/watch?v=8fXqRAyu1d0,8fXqRAyu1d0,,,,King Gizzard & The Lizard Wizard - Magma (Live on KEXP),KEXP,2022-11-11T12:00:06Z,PT10M54S,12710,https://i.ytimg.com/vi/8fXqRAyu1d0/hqdefault.jpg,874,75,"['find new music', 'music discovery', 'latest bands', 'live performance', 'studio session', 'studio performance', 'live version', 'live recording', 'in studio', 'instudio', 'KEXP', 'kexp fm', 'live music', 'livemusic', 'concert streaming', 'online concert', 'virtual concert', 'King Gizzard & The Wizard Lizard', 'King Gizzard & The Wizard Lizard Live', 'Melbourne', 'Australia', 'Magma']",12.7K,874,75,10:54,2022-11-11,815
Bad Brains - Big Takeover [Hardcore Punk],Bad Brains - Big Take Over (Live 1982),2022-11-10,0.94,663.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Bad Brains - Big Take Over (Live 1982)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/5NAPYIMMbWQ?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Bad Brains - Big Take Over (Live 1982)""></iframe>', 'author_name': 'qpwo0001', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/5NAPYIMMbWQ/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/qpwo0001'}}",Bad Brains,Big Takeover,Bad Brains,Big Take Over,hardcore punk,youtube,,https://www.youtube.com/watch?v=5NAPYIMMbWQ,5NAPYIMMbWQ,,,,Bad Brains - Big Take Over (Live 1982),qpwo0001,2009-11-26T21:07:08Z,PT2M43S,975242,https://i.ytimg.com/vi/5NAPYIMMbWQ/hqdefault.jpg,13459,846,"['bad', 'brains', 'hardcore', 'punk']",975K,13.5K,846,02:43,2009-11-26,663
Joe Archer -- You Look All Wrong Because You're Bandy [Music Hall] (1907),You look all wrong because you're bandy (1907),2022-11-10,0.95,650.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': ""You look all wrong because you're bandy (1907)"", 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/ncZVWqCSPPk?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""You look all wrong because you&#39;re bandy (1907)""></iframe>', 'author_name': 'Island Adventures + Music in Japan', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/ncZVWqCSPPk/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/ShojiMusic'}}",Joe Archer,You Look All Wrong Because Youre Bandy,,,music hall,youtube,,https://www.youtube.com/watch?v=ncZVWqCSPPk,ncZVWqCSPPk,,,,You Look All Wrong Because You're Bandy (1907),Island Adventures + Music in Japan,2022-11-10T09:35:49Z,PT2M26S,5791,https://i.ytimg.com/vi/ncZVWqCSPPk/hqdefault.jpg,107,8,,5.79K,107,8,02:26,2022-11-10,650
Green Jelly - Three Little Pigs [Rock],Green Jelly - Three Little Pigs (Official Video),2022-11-11,0.94,484.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Green Jelly - Three Little Pigs (Official Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/Gtffv9bpB-U?start=88&feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Green Jelly - Three Little Pigs (Official Video)""></iframe>', 'author_name': 'GreenJellyVEVO', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/Gtffv9bpB-U/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/GreenJellyVEVO'}}",Green Jelly,Three Little Pigs,Green Jelly,Three Little Pigs,rock,youtube,,https://www.youtube.com/watch?v=Gtffv9bpB-U,Gtffv9bpB-U,,,,Green Jelly - Three Little Pigs (Official Video),GreenJellyVEVO,2014-03-15T01:45:48Z,PT5M55S,27289764,https://i.ytimg.com/vi/Gtffv9bpB-U/hqdefault.jpg,292986,12014,"['SMCMG', 'Metal/Hard Rock', 'Green Jelly', 'Three Little Pigs', 'green jelly three little pigs', 'green jelly vevo']",27.3M,293K,12K,05:55,2014-03-15,484
Nomeansno - Dark Ages[Post-Hardcore](1988),Dark Ages - Nomeansno,2022-11-09,0.93,367.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Dark Ages - Nomeansno', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/vmBDkYGVqGQ?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Dark Ages - Nomeansno""></iframe>', 'author_name': 'stoneygraved', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/vmBDkYGVqGQ/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/user/stoneygraved'}}",Nomeansno,Dark Ages,Dark Ages,Nomeansno,post-hardcore,youtube,,https://www.youtube.com/watch?v=vmBDkYGVqGQ,vmBDkYGVqGQ,,,,Dark Ages - Nomeansno,stoneygraved,2010-06-17T21:04:39Z,PT5M22S,90185,https://i.ytimg.com/vi/vmBDkYGVqGQ/hqdefault.jpg,820,69,"['DarkAges', 'Nomeansno (Musical Group)', 'Music (TV Genre)']",90.2K,820,69,05:22,2010-06-17,367
Echo & The Bunnymen - The Killing Moon [Post-punk] (1984),Echo & The Bunnymen - The Killing Moon (Official Music Video),2022-11-11,0.95,336.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Echo & The Bunnymen - The Killing Moon (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/LWz0JC7afNQ?start=10&feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Echo &amp; The Bunnymen - The Killing Moon (Official Music Video)""></iframe>', 'author_name': 'Echo & the Bunnymen', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/LWz0JC7afNQ/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCC4vxWpMSKdJlUBC9Lw93Tg'}}",Echo & The Bunnymen,The Killing Moon,Echo & The Bunnymen,The Killing Moon,post-punk,youtube,,https://www.youtube.com/watch?v=LWz0JC7afNQ,LWz0JC7afNQ,,,,Echo & The Bunnymen - The Killing Moon (Official Music Video),Echo & the Bunnymen,2014-06-24T19:46:45Z,PT4M55S,34970323,https://i.ytimg.com/vi/LWz0JC7afNQ/hqdefault.jpg,305397,11458,"['The Killing Moon (Musical Recording)', 'Echo & The Bunnymen (Musical Group)', 'Donnie Darko: Original Soundtrack & Score (Soundtrack)', 'Jake Gyllenhaal (Celebrity)', 'the killing moon', 'echo and the bunnymen', 'echo and the bunnymen the killing moon', 'the killing moon video', 'ian mcculloch', 'killing moon', 'ocean rain', 'echo & the bunnymen', 'echo and the bunnymen the killing moon lyrics', 'echo and the bunnymen the killing moon live', 'echo and the bunnymen the killing moon hd']",35M,305K,11.5K,04:55,2014-06-24,336
H.G. Williams -- Sweet Marie [Ballad] (1893),"""Sweet Marie"" H. G. Williams = brown wax cylinder from Ohio Phonograph Company, 1890s James L. Andem",2022-11-07,0.94,314.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': '""Sweet Marie"" H. G. Williams = brown wax cylinder from Ohio Phonograph Company, 1890s James L. Andem', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/c0dJc7kP4pM?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""&quot;Sweet Marie&quot; H. G. Williams = brown wax cylinder from Ohio Phonograph Company, 1890s James L. Andem""></iframe>', 'author_name': 'Tim Gracyk', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/c0dJc7kP4pM/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCtRvrDqERePGnsZbXwHbQtA'}}",H.G. Williams,Sweet Marie,,Sweet Marie,ballad,youtube,,https://www.youtube.com/watch?v=c0dJc7kP4pM,c0dJc7kP4pM,,,,"""Sweet Marie"" H. G. Williams = brown wax cylinder from Ohio Phonograph Company, 1890s James L. Andem",Tim Gracyk,2022-06-27T21:08:44Z,PT2M39S,1320,https://i.ytimg.com/vi/c0dJc7kP4pM/hqdefault.jpg,22,4,,1.32K,22,4,02:39,2022-06-27,314
Nostalgia - Gorguts [Technical/Dissonant Death Metal] (1998),Nostalgia,2022-11-11,0.92,298.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'Nostalgia', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/KXF7KM6Av0w?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""Nostalgia""></iframe>', 'author_name': 'Gorguts - Topic', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/KXF7KM6Av0w/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/channel/UCX8wDI9eOnkF8lN_C_ZQirQ'}}",Nostalgia,Gorguts,,,"technical, dissonant death metal",youtube,,https://www.youtube.com/watch?v=KXF7KM6Av0w,KXF7KM6Av0w,,,,Nostalgia,Gorguts - Topic,2017-04-12T21:54:02Z,PT6M10S,21548,https://i.ytimg.com/vi/KXF7KM6Av0w/hqdefault.jpg,484,3,"['Gorguts', 'Obscura', 'Nostalgia']",21.5K,484,3,06:10,2017-04-12,298
JW Francis - Dream House [lofi rock jangle pop] (2022),JW Francis - Dream House (Official Music Video),2022-11-09,0.92,243.0,"{'type': 'youtube.com', 'oembed': {'provider_url': 'https://www.youtube.com/', 'version': '1.0', 'title': 'JW Francis - Dream House (Official Music Video)', 'type': 'video', 'thumbnail_width': 480, 'height': 200, 'width': 267, 'html': '<iframe width=""267"" height=""200"" src=""https://www.youtube.com/embed/I8i7MQbowwM?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""JW Francis - Dream House (Official Music Video)""></iframe>', 'author_name': 'JW Francis', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/I8i7MQbowwM/hqdefault.jpg', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/JWFrancis'}}",JW Francis,Dream House,JW Francis,Dream House,lofi rock jangle pop,youtube,,https://www.youtube.com/watch?v=I8i7MQbowwM,I8i7MQbowwM,,,,JW Francis - Dream House (Official Music Video),JW Francis,2022-11-09T07:04:30Z,PT2M57S,5461,https://i.ytimg.com/vi/I8i7MQbowwM/hqdefault.jpg,110,19,,5.46K,110,19,02:57,2022-11-09,243
Lyrre - North Star [Metal] (2022),LYRRE - North Star (OFFICIAL MUSIC VIDEO),2022-11-11,0.96,214.0,"{'oembed': {'provider_url': 'https://www.youtube.com/', 'title': 'LYRRE - North Star (OFFICIAL MUSIC VIDEO)', 'html': '<iframe width=""356"" height=""200"" src=""https://www.youtube.com/embed/Fi9N9n1UCB8?feature=oembed&enablejsapi=1"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen title=""LYRRE - North Star (OFFICIAL MUSIC VIDEO)""></iframe>', 'thumbnail_width': 480, 'height': 200, 'width': 356, 'version': '1.0', 'author_name': 'LYRRE', 'provider_name': 'YouTube', 'thumbnail_url': 'https://i.ytimg.com/vi/Fi9N9n1UCB8/hqdefault.jpg', 'type': 'video', 'thumbnail_height': 360, 'author_url': 'https://www.youtube.com/c/LYRREofficial'}, 'type': 'youtube.com'}",Lyrre,North Star,LYRRE,North Star,metal,youtube,,https://www.youtube.com/watch?v=Fi9N9n1UCB8,Fi9N9n1UCB8,,,,LYRRE - North Star (OFFICIAL MUSIC VIDEO),LYRRE,2022-11-11T17:00:10Z,PT3M56S,4245,https://i.ytimg.com/vi/Fi9N9n1UCB8/hqdefault.jpg,746,89,,4.24K,746,89,03:56,2022-11-11,214
